product_id,title,description,tags,price,sizes,image_paths,source_url,store
fs_010,A.SHIMUS Red Work Dress,,,9,Choose an option|S|M|L,/data/flyingsolo/images/010_0_header_logo.png|/data/flyingsolo/images/010_1_header_logo.png|/data/flyingsolo/images/010_2_Flying_Solo_logo.png|/data/flyingsolo/images/010_3_A.SHIMUS-25FW-Long-Sleeve-Wool-Shirt-Dress-Bordeaux-2-2160-%C3%97-2880-scaled-e1756899366646-800x1068.jpg,https://flyingsolo.nyc/product/a-shimus-red-work-dress/,Flying Solo NYC
fs_011,HIROMI ASAI Grey Knee Length Shorts,,,9,One Size,/data/flyingsolo/images/011_0_header_logo.png|/data/flyingsolo/images/011_1_header_logo.png|/data/flyingsolo/images/011_2_Flying_Solo_logo.png|/data/flyingsolo/images/011_3_Hiromi-Asai-SS25-pullover4-3-800x1067.jpg,https://flyingsolo.nyc/product/hiromi-asai-grey-knee-length-shorts/,Flying Solo NYC
fs_012,Re…ByTonyDrawbridge Green Acrylic Ring,,,9,One Size,/data/flyingsolo/images/012_0_header_logo.png|/data/flyingsolo/images/012_1_header_logo.png|/data/flyingsolo/images/012_2_Flying_Solo_logo.png|/data/flyingsolo/images/012_3_Re.byTonyDrawbridge-IMG_4247-800x1067.jpg,https://flyingsolo.nyc/product/re-bytonydrawbridge-green-acrylic-ring/,Flying Solo NYC
fs_013,Itu Golf Wear,,,9,Choose an option|S|M,/data/flyingsolo/images/013_0_header_logo.png|/data/flyingsolo/images/013_1_header_logo.png|/data/flyingsolo/images/013_2_Flying_Solo_logo.png|/data/flyingsolo/images/013_3_Itu-Golf-Wear-13-800x1067.png,https://flyingsolo.nyc/product/itu-golf-wear/,Flying Solo NYC
fs_014,925 Siller Silver Cubic Zirconia Earrings,,,9,One Size,/data/flyingsolo/images/014_0_header_logo.png|/data/flyingsolo/images/014_1_header_logo.png|/data/flyingsolo/images/014_2_Flying_Solo_logo.png|/data/flyingsolo/images/014_3_925-siller-W101_resized-4-800x1067.jpg,https://flyingsolo.nyc/product/925-siller-silver-cubic-zirconia-earrings-3/,Flying Solo NYC
fs_015,HauteLife World Zurich Grey,,,9,One Size,/data/flyingsolo/images/015_0_header_logo.png|/data/flyingsolo/images/015_1_header_logo.png|/data/flyingsolo/images/015_2_Flying_Solo_logo.png|/data/flyingsolo/images/015_3_HauteLife-World-IMG_5344-scaled-e1721297805570-1-800x1067.jpg,https://flyingsolo.nyc/product/hautelife-world-zurich-grey/,Flying Solo NYC
fs_016,STORIES Parfums No.01 Hand & Body Wash 500ml,,,9,One Size,/data/flyingsolo/images/016_0_header_logo.png|/data/flyingsolo/images/016_1_header_logo.png|/data/flyingsolo/images/016_2_Flying_Solo_logo.png|/data/flyingsolo/images/016_3_STORIES-Parfums-STORIES-No.01-500ml-Lotion-scaled-1-800x1067.jpg,https://flyingsolo.nyc/product/stories-parfums-no-01-hand-body-wash-500ml/,Flying Solo NYC
fs_017,Ilike Organic Skin Care QuadDefense Essence With Sea Buckthorn,,,9,One Size,/data/flyingsolo/images/017_0_header_logo.png|/data/flyingsolo/images/017_1_header_logo.png|/data/flyingsolo/images/017_2_Flying_Solo_logo.png|/data/flyingsolo/images/017_3_ilike-organic-skin-care-QuadDefense-Essence-30ml_00-scaled-1-800x1067.jpg,https://flyingsolo.nyc/product/ilike-organic-skin-care-quaddefense-essence-with-sea-buckthorn/,Flying Solo NYC
fs_018,Baszicare ABEO lux spot treatment 20ML,,,9,One Size,/data/flyingsolo/images/018_0_header_logo.png|/data/flyingsolo/images/018_1_header_logo.png|/data/flyingsolo/images/018_2_Flying_Solo_logo.png|/data/flyingsolo/images/018_3_4_baszicare_Abeoluxspottreatment_2160x2880_68298c1c-5a75-47bd-bd89-6e74ce905c76-scaled-e1724742102810-1-800x1067.jpg,https://flyingsolo.nyc/product/baszicare-abeo-lux-spot-treatment-20ml/,Flying Solo NYC
fs_019,House Of 29 X Melinda Maria Serpent Herringbone Collar 16″,,,9,One Size,/data/flyingsolo/images/019_0_header_logo.png|/data/flyingsolo/images/019_1_header_logo.png|/data/flyingsolo/images/019_2_Flying_Solo_logo.png|/data/flyingsolo/images/019_3_House-of-29-Serpent-Herringbone-Collar-16_-Gold-e1756135497716-800x1067.png,https://flyingsolo.nyc/product/house-of-29-x-melinda-maria-serpent-herringbone-collar-16/,Flying Solo NYC
fs_020,ELENA RUDENKO black clinked convertible crop top,,,9,Choose an option|S|M|L,/data/flyingsolo/images/020_0_header_logo.png|/data/flyingsolo/images/020_1_header_logo.png|/data/flyingsolo/images/020_2_Flying_Solo_logo.png|/data/flyingsolo/images/020_3_ELENA-RUDENKO-MagicEraser_230621_130829-scaled-e1719647257874-800x1068.jpeg,https://flyingsolo.nyc/product/elena-rudenko-black-clinked-convertible-crop-top/,Flying Solo NYC
fs_021,Atelier Mythique Gold Silver Bangle,,,9,One Size,/data/flyingsolo/images/021_0_header_logo.png|/data/flyingsolo/images/021_1_header_logo.png|/data/flyingsolo/images/021_2_Flying_Solo_logo.png|/data/flyingsolo/images/021_3_Atelier-Mythique-La-Dragonne-bangle-with-plain-collar-4-800x1067.jpg,https://flyingsolo.nyc/product/atelier-mythique-gold-silver-bangle/,Flying Solo NYC
fs_022,HN JEWELRY Green Jade Ring,,,9,Choose an option|6,/data/flyingsolo/images/022_0_header_logo.png|/data/flyingsolo/images/022_1_header_logo.png|/data/flyingsolo/images/022_2_Flying_Solo_logo.png|/data/flyingsolo/images/022_3_HN-JEWELRY-Untitled-design-44-800x1067.jpg,https://flyingsolo.nyc/product/hn-jewelry-green-jade-ring-2/,Flying Solo NYC
fs_023,Fundae Black High Heel Pump,,,9,Choose an option|6|7|7.5|9|11,/data/flyingsolo/images/023_0_header_logo.png|/data/flyingsolo/images/023_1_header_logo.png|/data/flyingsolo/images/023_2_Flying_Solo_logo.png|/data/flyingsolo/images/023_3_Fundae-14-1-scaled-1-800x1067.png,https://flyingsolo.nyc/product/fundae-black-high-heel-pump/,Flying Solo NYC
